ts,instrument,qty,price,fee,realized
2026-06-03T23:07:20.670195+00:00,MSFT,-123.0,403.72,0.0,0.0
2026-06-03T23:07:20.670214+00:00,AMD,293.0,170.61,0.0,0.0
2026-06-03T23:07:20.670269+00:00,NVDA,-76.0,661.45,0.0,0.0
2026-06-03T23:07:20.670278+00:00,MSFT,123.0,411.19,0.0,-918.8099999999963
2026-06-03T23:07:20.670286+00:00,AMD,-293.0,177.59,0.0,2045.139999999997
2026-06-03T23:07:20.670293+00:00,INTC,1187.0,42.6,0.0,0.0
2026-06-03T23:07:20.670329+00:00,INTC,-1.0,42.58,0.0,-0.020000000000003126
2026-06-03T23:07:20.670399+00:00,NVDA,5.0,693.26,0.0,-159.04999999999973
2026-06-03T23:07:20.670406+00:00,MSFT,121.0,405.54,0.0,0.0
2026-06-03T23:07:20.670413+00:00,INTC,-1186.0,42.75,0.0,177.89999999999833
2026-06-03T23:07:20.670456+00:00,NVDA,144.0,682.33,0.0,-1482.4799999999996
2026-06-03T23:07:20.670463+00:00,AAPL,-263.0,189.26,0.0,0.0
2026-06-03T23:07:20.670469+00:00,MSFT,-121.0,405.46000000000004,0.0,-9.679999999998074
2026-06-03T23:07:20.670516+00:00,NVDA,-73.0,700.88,0.0,1354.1499999999967
2026-06-03T23:07:20.670522+00:00,AAPL,529.0,189.41,0.0,-39.450000000001495
2026-06-03T23:07:20.670528+00:00,MSFT,-121.0,414.01,0.0,0.0
2026-06-03T23:07:20.670572+00:00,NVDA,72.0,696.86,0.0,0.0
2026-06-03T23:07:20.670578+00:00,AAPL,-266.0,188.34,0.0,-284.6199999999982
2026-06-03T23:07:20.670585+00:00,MSFT,121.0,414.1,0.0,-10.890000000003852
2026-06-03T23:07:20.670591+00:00,INTC,-1183.0,42.52,0.0,0.0
2026-06-03T23:07:20.670634+00:00,NVDA,-142.0,720.91,0.0,1731.5999999999967
2026-06-03T23:07:20.670640+00:00,AAPL,268.0,188.87,0.0,0.0
2026-06-03T23:07:20.670646+00:00,INTC,1183.0,43.32,0.0,-946.3999999999967
2026-06-03T23:07:20.670734+00:00,NVDA,70.0,723.12,0.0,-154.70000000000255
2026-06-03T23:07:20.670741+00:00,AAPL,-268.0,187.16,0.0,-458.28000000000213
2026-06-03T23:07:20.670746+00:00,MSFT,121.0,415.34000000000003,0.0,0.0
2026-06-03T23:07:20.670753+00:00,INTC,-1145.0,44.04,0.0,0.0
2026-06-03T23:07:20.670794+00:00,MSFT,2.0,406.65000000000003,0.0,0.0
2026-06-03T23:07:20.670800+00:00,INTC,1145.0,43.19,0.0,973.2500000000016
2026-06-03T23:07:20.670806+00:00,AMD,-293.0,171.58,0.0,0.0
