ts,equity,cash,gross,net,realized,unrealized
2024-01-02T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-03T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-04T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-05T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-06T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-07T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-08T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-09T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-10T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-11T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-12T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-13T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-14T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-15T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-16T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-17T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-18T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-19T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-20T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-21T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-22T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-23T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-24T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-25T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-26T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-27T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-28T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-29T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-30T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-01-31T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-02-01T00:00:00-05:00,100000.0,100000.0,0.0,0.0,0.0,0.0
2024-02-02T00:00:00-05:00,99981.37,99668.82999999999,99647.34,312.5400000000009,0.0,-18.629999999998375
2024-02-03T00:00:00-05:00,101104.57999999999,100830.32999999999,100834.41,274.25,1126.3300000000006,-21.749999999997293
2024-02-04T00:00:00-05:00,101104.56999999999,100872.90999999999,100791.82,231.6600000000035,1126.3100000000006,-21.739999999997295
2024-02-05T00:00:00-05:00,101104.56999999999,100872.90999999999,100791.82,231.6600000000035,1126.3100000000006,-21.739999999997295
2024-02-06T00:00:00-05:00,98886.305,99037.76999999999,98271.575,-151.4649999999965,1145.1599999999992,-2258.8550000000014
2024-02-07T00:00:00-05:00,99632.25999999998,99618.28999999998,99585.77,13.970000000001164,-346.99999999999847,-20.740000000004386
2024-02-08T00:00:00-05:00,100947.37999999998,100679.84999999998,100477.31,267.52999999999884,967.6999999999967,-20.319999999995957
2024-02-09T00:00:00-05:00,100656.19499999998,100799.42999999998,100470.91500000001,-143.2349999999933,672.1899999999947,-15.994999999993638
2024-02-10T00:00:00-05:00,101437.85999999996,101303.92999999996,101081.63,133.9300000000003,1457.3899999999946,-19.529999999997813
2024-02-11T00:00:00-05:00,101437.85999999996,101303.92999999996,101081.63,133.9300000000003,1457.3899999999946,-19.529999999997813
2024-02-12T00:00:00-05:00,101437.85999999996,101303.92999999996,101081.63,133.9300000000003,1457.3899999999946,-19.529999999997813
2024-02-13T00:00:00-05:00,100829.00499999995,101014.06999999995,100677.985,-185.06500000000233,844.40999999999,-15.405000000007881
2024-02-14T00:00:00-05:00,100747.53999999995,101021.15999999995,100289.84,-273.6200000000026,1817.6599999999917,-1070.120000000014
2024-02-15T00:00:00-05:00,98979.07999999996,99158.84999999995,98814.48999999999,-179.7699999999968,959.2699999999836,-1980.1899999999937
2024-02-16T00:00:00-05:00,99433.06999999995,99708.30999999994,99124.12,-275.23999999999796,-545.4500000000157,-21.47999999999621
2024-02-17T00:00:00-05:00,99938.54999999993,99949.30999999992,99911.16,-10.760000000002037,-648.1300000000151,586.6800000000005
2024-02-18T00:00:00-05:00,99938.54999999993,99949.30999999992,99911.16,-10.760000000002037,-648.1300000000151,586.6800000000005
2024-02-19T00:00:00-05:00,99938.54999999993,99949.30999999992,99911.16,-10.760000000002037,-648.1300000000151,586.6800000000005
2024-02-20T00:00:00-05:00,99938.54999999993,99949.30999999992,99911.16,-10.760000000002037,-648.1300000000151,586.6800000000005
2024-02-21T00:00:00-05:00,98565.56999999992,99187.30999999991,97900.73999999999,-621.739999999998,-872.2851219512372,-562.1448780487767
2024-02-22T00:00:00-05:00,98306.74999999991,98770.9899999999,97623.92000000001,-464.23999999999796,-263.3300000000181,-1429.919999999995
2024-02-23T00:00:00-05:00,105677.66999999991,105462.25999999991,105441.59,215.4100000000035,5700.689999999985,-23.01999999999542
2024-02-24T00:00:00-05:00,105454.05999999991,105590.18999999992,105312.25,-136.12999999999738,5478.249999999982,-24.189999999995187
2024-02-25T00:00:00-05:00,105454.05999999991,105590.18999999992,105312.25,-136.12999999999738,5478.249999999982,-24.189999999995187
2024-02-26T00:00:00-05:00,105454.05999999991,105590.18999999992,105312.25,-136.12999999999738,5478.249999999982,-24.189999999995187
2024-02-27T00:00:00-05:00,105288.75999999991,105354.3499999999,105210.91,-65.58999999999651,5311.32999999999,-22.56999999999551
2024-02-28T00:00:00-05:00,105526.98999999989,105365.87999999989,105373.27,161.11000000000058,5549.229999999994,-22.239999999995575
2024-02-29T00:00:00-05:00,105125.1949999999,104767.6599999999,104738.975,357.5350000000035,5141.68999999999,-16.494999999992274
2024-03-01T00:00:00-05:00,105610.0199999999,105581.8599999999,105518.16,28.159999999996217,5632.659999999995,-22.640000000003795
2024-03-02T00:00:00-05:00,102504.1499999999,102544.0199999999,102434.66999999998,-39.87000000000262,2837.889999999998,-333.74000000000444
2024-03-03T00:00:00-05:00,102504.1499999999,102544.0199999999,102434.66999999998,-39.87000000000262,2837.889999999998,-333.74000000000444
2024-03-04T00:00:00-05:00,102504.1499999999,102544.0199999999,102434.66999999998,-39.87000000000262,2837.889999999998,-333.74000000000444
2024-03-05T00:00:00-05:00,99125.6699999999,99107.6599999999,99082.93,18.010000000002037,2677.0499999999984,-3551.380000000001
2024-03-06T00:00:00-05:00,100341.8599999999,100057.7599999999,100019.73999999999,284.09999999999854,363.3399999999922,-21.48000000000357
2024-03-07T00:00:00-05:00,100251.99999999991,100510.99999999991,99955.0,-259.0,273.17999999999256,-21.179999999995786
2024-03-08T00:00:00-05:00,99254.87999999992,99407.66999999991,99048.20999999999,-152.79000000000087,1039.1599999999944,-1784.280000000002
2024-03-09T00:00:00-05:00,100564.7699999999,100573.4699999999,100527.54,-8.69999999999709,585.0099999999878,-20.23999999999782
2024-03-10T00:00:00-05:00,100564.7699999999,100573.4699999999,100527.54,-8.69999999999709,585.0099999999878,-20.23999999999782
2024-03-11T01:00:00-04:00,100975.80999999988,101032.56999999989,100864.28,-56.76000000000204,1529.089999999986,-553.2800000000009
2024-03-12T01:00:00-04:00,101906.55999999988,101628.1699999999,101579.87,278.38999999999214,1927.5899999999933,-21.030000000003824
2024-03-13T01:00:00-04:00,99707.2799999999,99716.39999999989,99634.08,-9.119999999995343,1927.2499999999934,-2219.9699999999953
2024-03-14T01:00:00-04:00,97919.0549999999,97929.8699999999,97851.88500000001,-10.814999999995052,-875.8100000000034,-1205.1349999999964
2024-03-15T01:00:00-04:00,99854.51999999987,100152.68999999989,99429.93,-298.17000000000553,-125.52000000000442,-19.96000000001021
2024-03-16T01:00:00-04:00,99854.51999999987,100152.68999999989,99429.93,-298.17000000000553,-125.52000000000442,-19.96000000001021
2024-03-17T01:00:00-04:00,99854.51999999987,100152.68999999989,99429.93,-298.17000000000553,-125.52000000000442,-19.96000000001021
2024-03-18T01:00:00-04:00,100008.62999999989,100072.92999999989,99975.38,-64.30000000001019,27.749999999990592,-19.12000000000569
2024-03-19T01:00:00-04:00,96869.10999999988,96876.15999999989,96847.95,-7.05000000000291,-4.620000000009526,-3126.270000000003
2024-03-20T01:00:00-04:00,95743.32999999987,95805.28999999988,95673.0,-61.9600000000064,-50.475468164803544,-4206.194531835214
2024-03-21T01:00:00-04:00,97345.67999999988,97194.82999999989,97192.98999999999,150.84999999999854,-2635.630000000011,-18.689999999997497
2024-03-22T01:00:00-04:00,97619.7799999999,97252.6199999999,96555.2,367.1600000000035,-2360.360000000005,-19.85999999999416
2024-03-23T01:00:00-04:00,97619.7799999999,97252.6199999999,96555.2,367.1600000000035,-2360.360000000005,-19.85999999999416
2024-03-24T01:00:00-04:00,97619.7799999999,97252.6199999999,96555.2,367.1600000000035,-2360.360000000005,-19.85999999999416
2024-03-25T01:00:00-04:00,96577.84999999989,95879.0499999999,95733.79999999999,698.7999999999956,-2368.070000000005,-1054.0799999999997
2024-03-26T01:00:00-04:00,97629.5099999999,98266.9499999999,96970.56,-637.4400000000023,-2348.9900000000052,-21.500000000000526
